項目,価格が高い,価格が安い,甘い,しょっぱい,腹が膨れる,腹が膨れない,食べやすい,食べにくい,音が出る,音が出ない
コアラのマーチ,3,3,4,2,3,3,4,2,4,2
たけのこの里,4,2,4,2,3,3,3,3,3,3
きのこの里,4,2,4,2,3,3,4,2,3,3
KitKat,3,3,4,2,3,3,4,2,4,2
Pocky,3,3,4,2,2,4,4,2,4,2
チョコパイ,2,4,4,2,2,4,4,2,3,3
アルフォート,4,2,4,2,3,3,3,3,3,3
パイの実,4,2,4,2,3,3,2,4,4,2
神戸ショコラ,4,2,4,2,3,3,3,3,3,3
チョコボール,2,4,3,3,2,4,3,3,3,3
アポロ,3,3,4,2,3,3,3,3,3,3
チョコベビー,3,3,4,2,3,3,3,3,3,3
マーブル,3,3,4,2,3,3,4,2,3,3
チョコあんぱん,3,3,3,3,2,4,4,2,2,4
DARS,3,3,4,2,3,3,3,3,3,3
meiji,3,3,4,2,3,3,3,3,3,3
トッポ,3,3,4,2,2,4,4,2,4,2
ゴディバ,5,1,5,1,3,3,3,3,3,3
ちょこまみれ,3,3,4,2,3,3,3,3,3,3
ポテチ うすしお,3,3,1,4,3,3,2,4,4,2
ポテチ コンソメパンチ,3,3,1,4,3,3,2,4,4,2
ポテチ のりしお,3,3,1,4,3,3,2,4,4,2
ピザポテト,3,3,1,4,3,3,2,4,4,2
カラムーチョ,3,3,1,4,3,3,2,4,4,2
ドンタコス,2,4,1,4,3,3,2,4,4,2
じゃがりこ,3,3,1,4,3,3,3,4,4,2
とんがりcorn,3,3,1,4,4,2,2,4,4,2
ポップコーン,3,3,1,4,2,4,3,3,4,2
かっぱえびせん,3,3,1,4,3,3,3,4,4,2
おとっと,3,3,1,4,3,3,3,4,4,2
うまい棒,1,5,1,4,1,5,4,2,4,2
ハッピーターン,3,3,2,4,3,3,2,4,4,2
オレオ,3,3,3,3,3,3,4,2,3,3
柿の種,4,2,1,5,3,3,3,3,4,2
ハリボー,3,3,4,2,2,4,4,2,2,4
コロロ,3,3,3,3,2,4,4,2,2,4
Poifull,3,3,3,3,2,4,4,2,2,4
果汁グミ,3,3,3,3,2,4,4,2,2,4
地球グミ,4,2,3,3,2,4,4,2,2,4
アンパンマングミ,3,3,3,3,2,4,4,2,2,4
アンパンマンチョコ,3,3,4,2,2,4,4,2,3,3
たらたらしてんじゃねーよ,2,4,1,5,2,4,4,2,2,4
コーラパンチ,3,3,3,3,2,4,4,2,4,2
ヨーグレット,3,3,3,3,2,4,4,2,4,2
ベビースターラーメン,3,3,1,5,2,4,3,3,4,2
ブラックサンダー,2,4,3,3,2,4,4,2,4,2
よっちゃんいか,2,4,1,5,2,4,2,4,2,4
蒲焼さん太郎,1,5,1,5,1,5,3,3,3,3
フエラムネ,3,3,3,3,2,4,4,2,3,3
麩菓子,3,3,4,2,1,5,4,2,2,4
綿あめ,3,3,4,2,1,5,3,3,2,4
ペペロンチーノ,2,4,1,5,4,2,5,1,3,3
ココアシガレット,2,4,3,3,2,4,5,1,4,2
もろっこヨーグルト,1,5,3,3,1,5,4,2,2,4
ヤングドーナッツ,2,4,3,3,3,3,4,2,2,4
10円ガム,1,1,3,3,1,5,5,1,1,5
ビッグカツ,2,4,1,5,2,4,4,2,3,3
うまい棒 チョコ味,1,5,3,3,1,5,4,2,1,5
10円飴,1,5,3,3,1,5,5,1,1,5
